Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #66	11 November 2022	Dadzie	33	64	http://start.gg/tournament/stop-your-friendlies-66/event/ultimate-singles	https://braacket.com/tournament/AA071309-B86C-4A87-ABDC-FEF7C92665EE
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Razzi	turbine	2	0	3	2
33	Maya	Razzi	2	0	3	2
34	bokobo	ChangCow	2	0	3	2
35	Chan	Husker	2	0	3	2
36	kogame	Funky Junky	2	0	3	2
37	Stealth_Pilot	momluvr69	2	0	3	2
38	Gwishin	Jerm	2	0	3	2
39	Drip	emensti	2	0	3	2
40	Spritemare	Reset	2	0	3	2
41	Dadzie	Ragnarok	2	0	3	2
42	Haus	Scuderia	2	0	3	2
43	Bunny5001	sans.	2	1	3	3
44	BigJayhawk	macNg	2	0	3	2
45	Aurokon	Wayne	2	0	3	2
46	Pony	kurisu	2	1	3	3
47	Ehis	wastevtime	2	0	3	2
48	awert	MrCrocMan	2	0	3	2
49	Maya	bokobo	2	0	3	2
50	kogame	Chan	2	0	3	2
51	Stealth_Pilot	Gwishin	2	1	3	3
52	Drip	Spritemare	2	0	3	2
53	Dadzie	Haus	2	1	3	3
54	BigJayhawk	Bunny5001	2	0	3	2
55	Aurokon	Pony	2	0	3	2
56	Ehis	awert	2	0	3	2
57	Maya	kogame	2	0	3	2
58	Stealth_Pilot	Drip	2	1	3	3
59	Dadzie	BigJayhawk	2	1	3	3
60	Ehis	Aurokon	2	0	3	2
61	Maya	Stealth_Pilot	3	0	5	3
62	Dadzie	Ehis	3	0	5	3
63	Dadzie	Maya	3	0	5	3
64	Dadzie	Stealth_Pilot	3	2	5	5
67	MrCrocMan	turbine	2	0	3	2
83	wastevtime	MrCrocMan	2	0	3	2
84	kurisu	Wayne	2	0	3	2
85	sans.	macNg	2	0	3	2
86	Scuderia	Ragnarok	2	0	3	2
87	Reset	emensti	2	0	3	2
88	Jerm	momluvr69	2	1	3	3
89	Husker	Funky Junky	2	0	3	2
90	Razzi	ChangCow	2	0	3	2
91	Spritemare	wastevtime	2	0	3	2
92	Gwishin	kurisu	2	1	3	3
93	Chan	sans.	2	0	3	2
94	bokobo	Scuderia	2	0	3	2
95	awert	Reset	2	0	3	2
96	Jerm	Pony	2	0	3	2
97	Bunny5001	Husker	2	0	3	2
98	Razzi	Haus	2	1	3	3
99	Gwishin	Spritemare	2	0	3	2
100	Chan	bokobo	2	0	3	2
101	awert	Jerm	2	0	3	2
102	Bunny5001	Razzi	2	0	3	2
103	BigJayhawk	Gwishin	2	1	3	3
104	Aurokon	Chan	2	0	3	2
105	awert	kogame	2	0	3	2
106	Drip	Bunny5001	2	0	3	2
107	Aurokon	BigJayhawk	3	1	5	4
108	Drip	awert	3	1	5	4
109	Stealth_Pilot	Aurokon	3	1	5	4
110	Ehis	Drip	3	2	5	5
111	Stealth_Pilot	Ehis	3	0	5	3
112	Stealth_Pilot	Maya	3	1	5	4
