Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #68	02 December 2022	Truth	21	41	http://start.gg/tournament/stop-your-friendlies-68/event/ultimate-singles	https://braacket.com/tournament/9313308C-D5A5-46B3-8671-37CC57044F26
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Eth	7even	2	0	3	2
6	GAY LORD	Esper	2	1	3	3
8	Treyara	emtea	2	0	3	2
10	Gwishin	HurryCaine	2	1	3	3
14	kogame	BMillion	2	0	3	2
17	Truth	Eth	2	0	3	2
18	awert	Yungsavage	2	1	3	3
19	Drip	GAY LORD	2	0	3	2
20	Mistral	Treyara	2	0	3	2
21	Neet	Gwishin	2	0	3	2
22	BarbNation	Blaze	2	0	3	2
23	Meatflap	kogame	2	0	3	2
24	Ehis	BigJayhawk	2	0	3	2
25	Truth	awert	2	0	3	2
26	Mistral	Drip	2	1	3	3
27	Neet	BarbNation	2	0	3	2
28	Meatflap	Ehis	2	1	3	3
29	Truth	Mistral	3	0	5	3
30	Meatflap	Neet	3	1	5	4
31	Meatflap	Truth	3	2	5	5
32	Truth	Meatflap	3	1	5	4
33	Truth	Meatflap	3	0	5	3
44	BigJayhawk	7even	2	0	3	2
46	Blaze	Esper	2	1	3	3
47	Gwishin	emtea	2	1	3	3
48	Treyara	HurryCaine	2	0	3	2
50	Yungsavage	BMillion	2	0	3	2
52	kogame	BigJayhawk	2	1	3	3
53	Blaze	Gwishin	2	1	3	3
54	Treyara	GAY LORD	2	0	3	2
55	Yungsavage	Eth	2	0	3	2
56	Drip	kogame	2	0	3	2
57	awert	Blaze	2	0	3	2
58	Ehis	Treyara	2	0	3	2
59	Yungsavage	BarbNation	2	1	3	3
60	awert	Drip	3	2	5	5
61	Ehis	Yungsavage	3	1	5	4
62	Neet	awert	3	1	5	4
63	Ehis	Mistral	3	1	5	4
64	Neet	Ehis	3	0	5	3
65	Truth	Neet	3	1	5	4
