Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #64	14 October 2022	Maya	22	43	http://start.gg/tournament/stop-your-friendlies-64/event/ultimate-singles	https://braacket.com/tournament/5D02B783-686A-48B9-BFCD-C3F223DD1F8B
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Vicious	studentX	2	1	3	3
6	Openmindedness1	Bungy	2	1	3	3
8	Natchy	Gummy	2	0	3	2
10	Esper	Jerm	2	0	3	2
14	Haus	L0ZER	2	0	3	2
16	mattias	Scuderia	2	0	3	2
17	Thor	Vicious	2	0	3	2
18	Neet	Gwishin	2	0	3	2
19	Meatflap	Openmindedness1	2	0	3	2
20	Blaze	Natchy	2	0	3	2
21	Truth	Esper	2	0	3	2
22	Treyara	sans.	2	1	3	3
23	Maya	Haus	2	0	3	2
24	Mistral	mattias	2	0	3	2
25	Thor	Neet	2	1	3	3
26	Blaze	Meatflap	2	1	3	3
27	Truth	Treyara	2	0	3	2
28	Maya	Mistral	2	0	3	2
29	Thor	Blaze	3	0	5	3
30	Maya	Truth	3	1	5	4
31	Thor	Maya	3	2	5	5
32	Maya	Thor	3	0	5	3
33	Maya	Thor	3	2	5	5
46	studentX	mattias	2	1	3	3
48	sans.	Bungy	2	0	3	2
49	Esper	Gummy	2	0	3	2
50	Natchy	Jerm	2	0	3	2
52	Gwishin	L0ZER	2	1	3	3
53	Vicious	Scuderia	2	0	3	2
54	studentX	Haus	2	1	3	3
55	sans.	Esper	2	0	3	2
56	Natchy	Openmindedness1	2	0	3	2
57	Gwishin	Vicious	2	0	3	2
58	Meatflap	studentX	2	0	3	2
59	sans.	Neet	2	1	3	3
60	Mistral	Natchy	2	0	3	2
61	Treyara	Gwishin	2	0	3	2
62	Meatflap	sans.	3	0	5	3
63	Mistral	Treyara	3	0	5	3
64	Truth	Meatflap	3	0	5	3
65	Mistral	Blaze	3	2	5	5
66	Truth	Mistral	3	0	5	3
67	Maya	Truth	3	2	5	5
