Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Stop Your Friendlies! #59	09 September 2022	Truth	24	46	http://start.gg/tournament/stop-your-friendlies-59/event/ultimate-singles	https://braacket.com/tournament/A821098F-DEC1-4F6E-BAD8-B111BDD7CDB5
Set Num	Winner	Loser	WS	LS	Best of	Game
2	Openmindedness1	Zarg0n	2	0	3	2
4	kogame	zwags	2	0	3	2
6	Gwishin	Sham!	2	0	3	2
8	Bunny5001	Rognan	2	0	3	2
10	Pestilence	McClane	2	0	3	2
12	icymcspicy	Dravus	2	0	3	2
14	XM	Pyroco	2	0	3	2
16	Salad	Smitty	2	0	3	2
17	Lucky	Openmindedness1	2	0	3	2
18	kogame	Vicious	2	0	3	2
19	Meatflap	Gwishin	2	0	3	2
20	Neet	Bunny5001	2	0	3	2
21	Maya	Pestilence	2	0	3	2
22	Ehis	icymcspicy	2	0	3	2
23	Truth	XM	2	0	3	2
24	Yungsavage	Salad	2	1	3	3
25	Lucky	kogame	2	0	3	2
26	Meatflap	Neet	2	1	3	3
27	Maya	Ehis	2	1	3	3
28	Truth	Yungsavage	2	0	3	2
29	Meatflap	Lucky	3	2	5	5
30	Truth	Maya	3	0	5	3
31	Truth	Meatflap	3	0	5	3
32	Truth	Neet	3	0	5	3
49	Salad	Zarg0n	2	0	3	2
50	XM	zwags	2	0	3	2
51	Sham!	icymcspicy	2	1	3	3
52	Pestilence	Rognan	2	1	3	3
53	Bunny5001	McClane	2	0	3	2
54	Gwishin	Dravus	2	0	3	2
55	Pyroco	Vicious	2	1	3	3
56	Openmindedness1	Smitty	2	0	3	2
57	Salad	XM	2	0	3	2
58	Pestilence	Sham!	2	0	3	2
59	Gwishin	Bunny5001	2	1	3	3
60	Pyroco	Openmindedness1	2	1	3	3
61	Neet	Salad	2	0	3	2
62	kogame	Pestilence	2	0	3	2
63	Yungsavage	Gwishin	2	0	3	2
64	Ehis	Pyroco	2	0	3	2
65	Neet	kogame	3	0	5	3
66	Yungsavage	Ehis	3	2	5	5
67	Neet	Maya	3	0	5	3
68	Lucky	Yungsavage	3	1	5	4
69	Neet	Lucky	3	0	5	3
70	Neet	Meatflap	3	2	5	5
