Player: 	Alts
('JonsTheWizard',)	('JonsTheWizard',)
('Shadmaster',)	('Shadmaster',)
('Toast (Adept)',)	('Toast (Adept)',)
('King k cruel',)	('TRHS | King k cruel',)
('VelvetyJack1',)	('VelvetyJack1',)
('WalkerSlayer',)	('WalkerSlayer',)
('Huski',)	('Huski',)
('Saweatie',)	('Saweatie',)
('shayesy',)	('shayesy',)
('Trianull',)	('Trianull',)
('Toasty',)	('Toasty',)
('umfinna',)	('umfinna',)
('JetRed',)	('JetRed',)
('Slayer',)	('Slayer',)
('Chance Wyatt',)	('Chance Wyatt',)
('Rocky',)	('Rocky',)
('somedonkus',)	('somedonkus',)
('Dooku',)	('1430 | Dooku',)
('Jurjester',)	('Mr | Jurjester',)
('Jester',)	('Jester',)
('Pablo',)	('Pablo',)
('BINGUS2',)	('BINGUS2',)
('dervid',)	('dervid',)
('Dusky',)	('Dusky',)
('Icy',)	('Icy',)
('TSB Jester',)	('Jester | TSB Jester',)
('Shadawn',)	('Shadawn',)
('Soda.Chip',)	('Soda.Chip',)
('Mega',)	('Mega',)
('Approvedc',)	('Approvedc',)
('Kaikainakat',)	('KaikainaKat',)
('same',)	('same',)
('jomb',)	('jomb',)
('jshot',)	('jshot',)
('Maestro',)	('Maestro',)
('bubs',)	('bubs',)
('FrogeInJar',)	('FrogeInJar',)
('NinjaBoob',)	('NinjaBoob',)
('Soap',)	('Soap',)
('Swass',)	('Swass',)
('YOGAB',)	('YOGAB',)
('Cal',)	('Cal',)
('ORAForce1',)	('ORAForce1',)
('slobuckets',)	('slobuckets',)
('Zay',)	('Team Rocket | Zay',)
('Poncho',)	('Poncho',)
('Ethan_5_',)	('Ethan_5_',)
('LOU',)	('LOU',)
('MeteorBarrage',)	('MeteorBarrage',)
('TES',)	('TES',)
('CDJ',)	('CDJ',)
('Ryoksos',)	('Ryoksos',)
('SonTamale',)	('SonTamale',)
('Dungeon Connor',)	('Dungeon Connor',)
('JGoose',)	('JGoose',)
('joey',)	('Joey',)
('Nordic bard',)	('Nordic bard',)
('BHHS',)	('BHHS',)
('Bloopy',)	('Bloopy',)
('Luxrayrulez',)	('Luxrayrulez',)
('Danford',)	('Danford',)
('Kracken',)	('Kracken',)
('L0ZER',)	('42 | L0ZER',)
('mattias',)	('mattias',)
('Lord Plim',)	('BOWU | Lord Plim',)
('Diabl0',)	('Diabl0',)
('KA$H',)	('KA$H',)
('Mikeknight',)	('Mikeknight',)
('Bavier',)	('Bavier',)
('Faun',)	('Faun',)
('Kuch',)	('Kuch',)
('ProRoboNinja',)	('ProRoboNinja',)
('NickD',)	('NickD',)
('Octoling',)	('Octoling',)
('CLAPP',)	('CLAPP',)
('E-Money',)	('CSP | E-Money',)
('Fox',)	('Fox',)
('SamCWill',)	('SamCWill',)
('Dani',)	('Dani',)
('Dooz',)	('Dooz',)
('Gab',)	('Gab',)
('RedLion19',)	('0-2 | RedLion19',)
('Jolteon Dreamer',)	('Jolteon Dreamer',)
('Teejismyname',)	('Teejismyname',)
('B00ber_Man',)	('B00ber_Man',)
('KonVict',)	('KonVict',)
('Soph',)	('Soph',)
('7even',)	('7even',)
('Bary John',)	('Bary John',)
('Kai',)	('Kai',)
('Louii',)	('Louii (CASTER)',)
('Hamalak',)	('MNT | Hamalak',)
('Bnizzlett',)	('Bnizzlett',)
('data 2',)	('Data 2',)
('Animedurag',)	('Animedurag',)
('OnlyFalcos',)	('OnlyFalcos',)
('pugg',)	('pugg',)
('ItsSunsett',)	('ItsSunsett',)
('Ethan',)	('Ethan',)
('Jonastty',)	('Jonastty',)
('Augustus',)	('Augustus',)
('Hunterb0915',)	('Hunterb0915',)
('Noice',)	('Noice',)
('Scorpiax',)	('Scorpiax',)
('crowboar',)	('crowboar',)
('Scarrien',)	('Scarrien',)
('WickyDubs',)	('WickyDubs',)
('3G5',)	('3G5',)
('Brain Delicious',)	('Brian Delicious',)
('Dusha;p',)	('Dusha;p',)
('I.Zee',)	('I.Zee',)
('TheBigJut',)	('TheBigJut',)
('BeMusty',)	('BeMusty',)
('cade',)	('cade',)
('Ghost',)	('Ghost',)
('HAZY',)	('HAZY',)
('DIWY',)	('DIWY',)
('acmccumbers',)	('acmccumbers',)
('andywoohoo',)	('andywoohoo',)
('Thouxan',)	('Thouxan',)
('Brampboy',)	('Brampboy',)
('Kallen',)	('Kallen',)
('bunbun',)	('bunbun',)
('Nagoob',)	('Nagoob',)
('smkybear15',)	('smkybear15',)
('Brekkm',)	('Brekkm',)
('Cheez',)	('Cheez',)
('Duncanlomp',)	('Duncanlomp',)
('Claptain',)	('Claptain',)
('Bablo',)	('Bablo',)
('Equinox',)	('GDS | Equinox',)
('Big-Al',)	('Big-Al',)
('LeBowlinFan',)	('LeBowlinFan',)
('Lynn',)	('Lynn',)
('Bowie124',)	('POOP | Bowie124',)
('Ryan',)	('Ryan',)
('Torelly',)	('Torelly',)
('Yoom-Tah',)	('Yoom-Tah',)
('Fee',)	('Fee',)
('Jeff',)	('Jeff',)
('Ksh3rd',)	('Kshr3d',)
('MemeLord',)	('MemeLord',)
('Kevin',)	('Kevin',)
('Tephers',)	('Tephers',)
('H3aliX',)	('H3aliX',)
