Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Advantage State #58	10 February 2023	Violet	56	109	http://start.gg/tournament/advantage-state-58/event/ultimate-singles	https://braacket.com/tournament/28A95478-049E-4105-8257-8213EBDAD2BD
Set Num	Winner	Loser	WS	LS	Best of	Game
2	studentX	Pony	2	0	3	2
3	sans.	Mostache	2	1	3	3
4	Limbo	Greg	2	0	3	2
6	Motionz	Abnormal	2	0	3	2
7	Maya	data	2	0	3	2
8	Shrumble	BigJayhawk	2	0	3	2
10	Capital G	SaintCD	2	0	3	2
11	Drip	Runa	2	0	3	2
12	ADDICT	OzMockman	2	1	3	3
14	Divine	Gummy	2	1	3	3
15	Ehis	Gilgamesh	2	1	3	3
16	awert	Bnizzlett	2	0	3	2
18	Eth	lotuskosal	2	0	3	2
19	Franzwa	Jericho	2	0	3	2
20	Phantom	ElectricMuffin	2	0	3	2
22	bokobo	Blaze	2	1	3	3
23	Mistral	data 2	2	0	3	2
24	Shaeffen	LaFever	2	0	3	2
26	WhatsAKingToAGod	FriedBagel	2	0	3	2
28	Senam	Little McGlitch	2	1	3	3
30	Spritemare	Izee	2	1	3	3
31	Dadzie	Burtn	2	0	3	2
32	Fette	Ragnarok	2	0	3	2
33	loaf	studentX	2	0	3	2
34	sans.	Limbo	2	1	3	3
35	Violet	Motionz	2	0	3	2
36	Maya	Shrumble	2	0	3	2
37	Vivian	Capital G	2	0	3	2
38	ADDICT	Drip	2	0	3	2
39	Neet	Divine	2	0	3	2
40	Ehis	awert	2	1	3	3
41	Lucky	Eth	2	0	3	2
42	Phantom	Franzwa	2	0	3	2
43	Thor	bokobo	2	0	3	2
44	Mistral	Shaeffen	2	0	3	2
45	Truth	WhatsAKingToAGod	2	0	3	2
46	Senam	Bingus	2	0	3	2
47	Hunter	Spritemare	2	0	3	2
48	Dadzie	Fette	2	0	3	2
49	loaf	sans.	2	0	3	2
50	Violet	Maya	2	0	3	2
51	Vivian	ADDICT	2	0	3	2
52	Neet	Ehis	2	0	3	2
53	Lucky	Phantom	2	0	3	2
54	Thor	Mistral	2	1	3	3
55	Truth	Senam	2	0	3	2
56	Hunter	Dadzie	2	1	3	3
57	Violet	loaf	2	1	3	3
58	Vivian	Neet	2	0	3	2
59	Lucky	Thor	2	0	3	2
60	Hunter	Truth	2	0	3	2
61	Violet	Vivian	3	0	5	3
62	Hunter	Lucky	3	2	5	5
63	Violet	Hunter	3	2	5	5
64	Hunter	Violet	3	1	5	4
65	Violet	Hunter	3	1	5	4
91	Mostache	Greg	2	0	3	2
93	BigJayhawk	data	2	0	3	2
95	OzMockman	Runa	2	0	3	2
97	Gilgamesh	Bnizzlett	2	0	3	2
99	ElectricMuffin	Jericho	2	1	3	3
101	LaFever	data 2	2	1	3	3
105	Burtn	Ragnarok	2	0	3	2
106	Fette	Pony	2	0	3	2
107	Spritemare	Mostache	2	0	3	2
108	Abnormal	Bingus	2	0	3	2
109	BigJayhawk	WhatsAKingToAGod	2	0	3	2
110	Shaeffen	SaintCD	2	0	3	2
111	bokobo	OzMockman	2	0	3	2
112	Franzwa	Gummy	2	0	3	2
113	Eth	Gilgamesh	2	0	3	2
114	awert	lotuskosal	2	0	3	2
115	Divine	ElectricMuffin	2	0	3	2
116	Drip	Blaze	2	0	3	2
117	Capital G	LaFever	2	0	3	2
118	Shrumble	FriedBagel	2	0	3	2
119	Motionz	Little McGlitch	2	0	3	2
120	Limbo	Izee	2	0	3	2
121	studentX	Burtn	2	0	3	2
122	Spritemare	Fette	2	1	3	3
123	BigJayhawk	Abnormal	2	0	3	2
124	Shaeffen	bokobo	2	1	3	3
125	Franzwa	Eth	2	0	3	2
126	awert	Divine	2	0	3	2
127	Drip	Capital G	2	1	3	3
128	Shrumble	Motionz	2	0	3	2
129	Limbo	studentX	2	1	3	3
130	Ehis	Spritemare	2	0	3	2
131	ADDICT	BigJayhawk	2	0	3	2
132	Maya	Shaeffen	2	0	3	2
133	Franzwa	sans.	2	0	3	2
134	Dadzie	awert	2	0	3	2
135	Drip	Senam	2	1	3	3
136	Mistral	Shrumble	2	0	3	2
137	Phantom	Limbo	2	1	3	3
138	Ehis	ADDICT	2	1	3	3
139	Maya	Franzwa	2	0	3	2
140	Drip	Dadzie	2	0	3	2
141	Mistral	Phantom	2	1	3	3
142	Thor	Ehis	2	0	3	2
143	Maya	Truth	2	0	3	2
144	loaf	Drip	2	0	3	2
145	Neet	Mistral	2	0	3	2
146	Maya	Thor	3	2	5	5
147	loaf	Neet	3	0	5	3
148	Vivian	Maya	3	1	5	4
149	loaf	Lucky	3	1	5	4
150	loaf	Vivian	3	2	5	5
151	Hunter	loaf	3	0	5	3
