Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Leveling @ LUG #5	18 February 2023	Vivian	23	44	http://start.gg/tournament/leveling-lug-5/event/ultimate-singles	https://braacket.com/tournament/A08960E9-AF10-482E-BC7B-7C390F6C6D81
Set Num	Winner	Loser	WS	LS	Best of	Game
2	studentX	Winro	2	0	3	2
6	Blaze	Runa	2	1	3	3
8	Poncho	MilkTea	2	1	3	3
10	Gummy	SaintCD	2	0	3	2
12	Yungsavage	Flax	2	0	3	2
14	Spritemare	Young Night Train	2	0	3	2
16	sans.	Alm#0420	2	0	3	2
17	Vivian	studentX	2	0	3	2
18	Treyara	Limbo	2	1	3	3
19	Truth	Blaze	2	0	3	2
20	Thor	Poncho	2	0	3	2
21	loaf	Gummy	2	0	3	2
22	Mistral	Yungsavage	2	0	3	2
23	Lucky	Spritemare	2	0	3	2
24	LazyZach	sans.	2	0	3	2
25	Vivian	Treyara	2	0	3	2
26	Truth	Thor	2	1	3	3
27	Mistral	loaf	2	0	3	2
28	LazyZach	Lucky	2	0	3	2
29	Vivian	Truth	3	1	5	4
30	LazyZach	Mistral	3	1	5	4
31	Vivian	LazyZach	3	2	5	5
32	Vivian	LazyZach	3	0	5	3
47	Winro	sans.	2	1	3	3
49	Yungsavage	Runa	2	0	3	2
50	MilkTea	Gummy	2	1	3	3
51	SaintCD	Poncho	2	0	3	2
52	Flax	Blaze	2	1	3	3
53	Limbo	Young Night Train	2	1	3	3
54	studentX	Alm#0420	2	0	3	2
55	Winro	Spritemare	2	0	3	2
56	MilkTea	Yungsavage	2	0	3	2
57	Flax	SaintCD	2	0	3	2
58	Limbo	studentX	2	0	3	2
59	Thor	Winro	2	1	3	3
60	Treyara	MilkTea	2	1	3	3
61	Lucky	Flax	2	0	3	2
62	loaf	Limbo	2	1	3	3
63	Thor	Treyara	3	0	5	3
64	loaf	Lucky	3	2	5	5
65	Mistral	Thor	3	0	5	3
66	loaf	Truth	3	1	5	4
67	loaf	Mistral	3	0	5	3
68	LazyZach	loaf	3	0	5	3
