Tournament Name	Date	Winner	Entrants	Sets Played	Original Link:	League Link
Inver Grove Fights #44	27 February 2023	Ventura	21	40	http://start.gg/tournament/inver-grove-fights-44/event/ultimate-singles	https://braacket.com/tournament/0158DF57-0695-4D2F-A111-8E67687BF8D9
Set Num	Winner	Loser	WS	LS	Best of	Game
2	studentX	Gains	2	0	3	2
6	Tungsten'	Cribdoc	2	0	3	2
8	Crime Sunday	vanbungle	2	1	3	3
10	Gummy	The Football	2	1	3	3
14	BIG WILL	Wagon	2	0	3	2
17	Ventura	studentX	2	0	3	2
18	Blaze	Senam	2	0	3	2
19	Kareem	Tungsten'	2	0	3	2
20	Crime Sunday	Yungsavage	2	1	3	3
21	Meatflap	Gummy	2	0	3	2
22	awert	Rush	2	0	3	2
23	Mistral	BIG WILL	2	0	3	2
24	Chan	sans.	2	0	3	2
25	Ventura	Blaze	2	0	3	2
26	Kareem	Crime Sunday	2	1	3	3
27	Meatflap	awert	2	0	3	2
28	Mistral	Chan	2	1	3	3
29	Ventura	Kareem	3	0	5	3
30	Mistral	Meatflap	3	1	5	4
31	Ventura	Mistral	3	1	5	4
32	Ventura	Mistral	3	0	5	3
43	Gains	sans.	2	0	3	2
45	Rush	Cribdoc	2	0	3	2
46	Gummy	vanbungle	2	0	3	2
47	Yungsavage	The Football	2	0	3	2
49	Senam	Wagon	2	1	3	3
51	BIG WILL	Gains	2	0	3	2
52	Rush	Gummy	2	1	3	3
53	Yungsavage	Tungsten'	2	0	3	2
54	Senam	studentX	2	1	3	3
55	Crime Sunday	BIG WILL	2	0	3	2
56	Blaze	Rush	2	1	3	3
57	Chan	Yungsavage	2	0	3	2
58	awert	Senam	2	1	3	3
59	Blaze	Crime Sunday	3	1	5	4
60	Chan	awert	3	0	5	3
61	Meatflap	Blaze	3	0	5	3
62	Chan	Kareem	3	1	5	4
63	Meatflap	Chan	3	0	5	3
64	Mistral	Meatflap	3	1	5	4
